檔案路徑,函式名稱,round1,round2,round3,round4,round5,QueryTimes
airflow-core/src/airflow/api_fastapi/auth/tokens.py,avalidated_claims,,,,,,
airflow-core/src/airflow/lineage/hook.py,_generate_key,,,,,,
airflow-core/src/airflow/models/dagbag.py,generate_md5_hash,,,,,,
airflow-core/src/airflow/models/taskinstance.py,next_retry_datetime,,,,,,
airflow-core/src/airflow/utils/email.py,_get_smtp_connection,,,,,,
airflow-core/src/airflow/utils/file.py,get_unique_dag_module_name,,,,,,
airflow-core/src/airflow/utils/hashlib_wrapper.py,md5,,,,,,
airflow-core/tests/unit/api_fastapi/auth/test_tokens.py,token_without_claim,,,,,,
airflow-core/tests/unit/utils/test_serve_logs.py,test_missing_claims,,,,,,
dev/breeze/src/airflow_breeze/commands/setup_commands.py,dict_hash,,,,,,
dev/breeze/src/airflow_breeze/global_constants.py,_calculate_provider_deps_hash,,,,,,
dev/breeze/src/airflow_breeze/utils/md5_build_check.py,generate_md5,,,,,,
dev/breeze/src/airflow_breeze/utils/path_utils.py,get_pyproject_toml_hash,,,,,,
dev/send_email.py,send_email,,,,,,
devel-common/src/sphinx_exts/sphinx_script_update.py,_gethash,,,,,,
devel-common/src/tests_common/pytest_plugin.py,_calculate_provider_deps_hash,,,,,,
providers/databricks/src/airflow/providers/databricks/operators/databricks.py,_generate_databricks_task_key,,,,,,
providers/databricks/tests/unit/databricks/operators/test_databricks.py,test_convert_to_databricks_workflow_task,,,,,,
providers/fab/src/airflow/providers/fab/auth_manager/api_endpoints/user_endpoint.py,patch_user,,,,,,
providers/fab/src/airflow/providers/fab/auth_manager/security_manager/override.py,_decode_and_validate_azure_jwt,,,,,,
providers/ftp/src/airflow/providers/ftp/hooks/ftp.py,get_conn,,,,,,
providers/imap/src/airflow/providers/imap/hooks/imap.py,_build_client,,,,,,
providers/smtp/src/airflow/providers/smtp/hooks/smtp.py,_build_client_kwargs,,,,,,
providers/snowflake/src/airflow/providers/snowflake/utils/sql_api_generate_jwt.py,calculate_public_key_fingerprint,,,,,,
scripts/ci/prek/compile_provider_assets.py,get_directory_hash,,,,,,
scripts/ci/prek/compile_ui_assets.py,get_directory_hash,,,,,,
scripts/ci/prek/generate_airflow_diagrams.py,_get_file_hash,,,,,,
scripts/ci/prek/lint_json_schema.py,_gethash,,,,,,
scripts/ci/prek/update_breeze_config_hash.py,get_package_setup_metadata_hash,,,,,,
scripts/ci/prek/update_source_date_epoch.py,write_reproducible_build_file,,,,,,
scripts/in_container/run_capture_airflowctl_help.py,get_airflowctl_command_hash_dict,,,,,,
task-sdk/src/airflow/sdk/api/client.py,__init__,,,,,,
task-sdk/src/airflow/sdk/bases/sensor.py,_get_next_poke_interval,,,,,,
