檔案路徑,函式名稱,round1,round2,round3,QueryTimes
tests/compile/piecewise/test_toy_llama.py,compute_hash,0,0,0,All-Safe
tests/utils_/test_utils.py,test_sha256,0,0,0,All-Safe
vllm/compilation/backends.py,__call__,0,0,0,All-Safe
vllm/compilation/compiler_interface.py,compute_hash,0,0,0,All-Safe
vllm/compilation/inductor_pass.py,hash_dict,0,0,0,All-Safe
vllm/config/__init__.py,compute_hash,0,0,0,All-Safe
vllm/config/cache.py,compute_hash,0,0,0,All-Safe
vllm/config/compilation.py,compute_hash,0,0,0,All-Safe
vllm/config/kv_transfer.py,compute_hash,0,0,0,All-Safe
vllm/config/load.py,compute_hash,0,0,0,All-Safe
vllm/config/lora.py,compute_hash,0,0,0,All-Safe
vllm/config/multimodal.py,compute_hash,0,0,0,All-Safe
vllm/config/parallel.py,compute_hash,0,0,0,All-Safe
vllm/config/scheduler.py,compute_hash,0,0,0,All-Safe
vllm/config/speculative.py,compute_hash,0,0,0,All-Safe
vllm/config/structured_outputs.py,compute_hash,0,0,0,All-Safe
vllm/distributed/kv_transfer/kv_connector/v1/shared_storage_connector.py,_generate_foldername_debug,0,0,0,All-Safe
vllm/envs.py,compute_hash,0,0,0,All-Safe
vllm/model_executor/model_loader/weight_utils.py,get_lock,0,0,0,All-Safe
vllm/utils/__init__.py,sha256,0,0,0,All-Safe
vllm/v1/structured_output/utils.py,__init__,0,0,0,All-Safe
